timestamp,accX,accY,accZ,temperature,humidity
0,-6920,5204,12184,27.0,55.1
10,-6888,5160,12140,27.0,55.1
20,-6852,5120,12212,27.0,55.1
30,-6860,5184,12164,27.0,55.1
40,-6852,5240,12244,27.0,55.1
50,-6852,5156,12236,27.0,55.1
60,-6812,5240,12148,27.0,55.0
70,-6720,5108,12120,27.0,55.0
80,-6820,5092,12148,27.0,55.0
90,-6984,5132,12188,27.0,55.0
100,-6844,5120,12068,27.0,55.0
110,-6924,5072,12312,27.0,55.0
120,-6540,5052,12288,27.0,54.9
130,-6892,5032,12096,27.0,55.0
140,-6840,5232,12272,27.0,55.0
150,-6872,5208,12176,27.0,55.0
160,-6936,5228,12252,27.0,55.0
170,-6796,5140,12144,27.0,55.0
180,-6916,5072,12300,27.0,55.0
190,-6824,5108,12232,27.0,55.0
200,-6808,5140,12320,27.0,55.0
210,-6820,5144,12184,27.0,55.0
220,-6840,5112,12204,27.0,55.0
230,-6932,5216,12224,27.0,55.0
240,-6840,4828,12468,27.0,55.0
250,-6720,5324,12184,27.0,54.9
260,-6996,5128,12152,27.0,54.8
270,-6940,5120,12172,27.0,54.8
280,-6816,5152,12276,27.0,54.8
290,-6880,5176,12260,27.0,54.9
300,-6840,5204,12288,27.0,54.8
310,-6800,5160,12212,27.0,54.8
320,-6876,5088,12200,27.0,54.8
330,-6900,5244,12228,26.9,54.9
340,-6832,5024,12352,27.0,54.8
350,-6884,5088,12328,27.0,54.8
360,-6832,5140,12288,26.9,54.9
370,-6828,5172,12256,26.9,54.9
380,-6912,5156,12240,26.9,54.9
390,-6932,5104,12196,26.9,54.9
400,-6896,5088,12104,26.9,54.9
410,-6788,5136,12356,26.9,54.9
420,-6888,5088,12228,26.9,54.9
430,-6824,5168,12356,26.9,54.9
440,-6736,5264,12148,26.9,54.9
450,-6800,5080,12352,26.9,54.9
460,-6800,5156,12256,26.9,54.9
470,-6868,5112,12364,26.9,54.9
480,-6892,5088,12172,26.9,54.9
490,-6880,5244,12136,26.9,54.9
500,-6748,5148,12136,26.9,55.0
510,-6816,5140,12252,26.9,55.0
520,-6848,5108,12148,26.9,55.1
530,-6804,5056,12228,26.9,55.1
540,-6896,5036,12240,26.9,55.1
550,-6900,5100,12288,26.9,55.1
560,-6704,5100,12152,26.9,55.1
570,-6964,5196,12284,26.9,55.1
580,-6884,5076,12112,26.9,55.1
590,-6828,5204,12156,26.9,55.1
600,-6972,5324,12260,26.9,55.1
610,-6828,5152,12280,26.9,55.1
620,-6864,5236,12272,26.9,55.1
630,-6892,5204,12136,26.9,55.1
640,-6944,5156,12124,26.9,55.1
650,-6892,5164,12100,26.9,55.1
660,-6876,5128,12084,26.9,55.1
670,-6816,5224,12164,26.9,55.1
680,-6852,5160,12240,26.9,55.1
690,-6880,5072,12340,26.9,55.1
700,-6836,5032,12236,26.9,55.1
710,-6960,5156,12236,26.9,55.2
720,-6828,5236,12120,26.8,55.2
730,-6888,5152,12252,26.8,55.2
740,-6844,5128,12236,26.9,55.2
750,-6936,5208,12248,26.8,55.2
760,-6844,5100,12180,26.9,55.2
770,-6492,5232,12060,26.8,55.2
780,-6844,5152,12176,26.9,55.2
790,-6904,5052,12304,26.8,55.2
800,-6812,5220,12200,26.9,55.2
810,-6812,5184,12192,26.9,55.2
820,-6876,5096,12072,26.8,55.2
830,-6840,5068,12308,26.9,55.2
840,-6676,5156,12340,26.9,55.2
850,-6892,5160,12316,26.9,55.2
860,-6812,5096,12036,26.9,55.2
870,-6892,5104,12212,26.9,55.2
880,-6948,5176,12256,26.9,55.2
890,-6848,5136,12288,26.9,55.2
900,-6856,5152,12224,26.9,55.2
910,-6908,5072,12248,26.8,55.2
920,-6872,5112,12244,26.9,55.2
930,-6868,5072,12344,26.9,55.2
940,-6852,5036,12240,26.9,55.3
950,-6884,5100,12188,26.8,55.3
960,-6892,5116,12224,26.8,55.3
970,-6816,5068,12224,26.8,55.3
980,-6828,5188,12236,26.8,55.3
990,-6872,5024,12124,26.8,55.3
1000,-6712,5064,12280,26.9,55.3
1010,-6832,5056,12312,26.8,55.3
1020,-6864,5220,12172,26.8,55.3
1030,-6884,5140,12284,26.8,55.3
1040,-6928,5068,12272,26.8,55.4
1050,-6896,5100,12352,26.9,55.4
1060,-6800,5168,12224,26.9,55.4
1070,-6924,5176,12284,26.8,55.4
1080,-6896,5060,12180,26.8,55.4
1090,-6784,5128,12348,26.8,55.4
1100,-6864,5068,12344,26.8,55.5
1110,-6820,5132,12264,26.8,55.5
1120,-6856,5264,12264,26.8,55.5
1130,-6932,5112,12152,26.8,55.6
1140,-6852,5136,12420,26.8,55.6
1150,-6944,5048,12160,26.8,55.7
1160,-6864,5144,12240,26.7,55.8
1170,-6900,5140,12212,26.7,55.7
1180,-6776,4952,12288,26.7,55.8
1190,-6948,5204,12240,26.7,55.8
1200,-6836,5168,12332,26.8,55.7
1210,-6916,5148,12256,26.7,55.8
1220,-6804,5092,12296,26.7,55.8
1230,-7192,5204,12468,26.7,55.9
1240,-6688,5232,12388,26.7,56.0
1250,-6800,5280,12292,26.7,56.0
1260,-6812,5368,12320,26.7,56.0
1270,-6764,5184,12232,26.7,56.0
1280,-6828,5132,12436,26.7,56.0
1290,-6832,5288,12344,26.7,56.1
1300,-6768,5240,12244,26.7,56.1
1310,-6792,5268,12292,26.7,56.2
1320,-6696,5228,12136,26.7,56.2
1330,-6812,5256,12080,26.7,56.2
1340,-6768,5220,12308,26.7,56.2
1350,-6744,5104,12368,26.7,56.2
1360,-6760,5160,12232,26.7,56.2
1370,-6852,5132,12268,26.7,56.2
1380,-6788,5196,12224,26.7,56.2
1390,-6872,5180,12332,26.7,56.2
1400,-6768,5332,12308,26.7,56.2
1410,-6900,5264,12276,26.6,56.2
1420,-6828,5208,12188,26.7,56.2
